iter	Passed	Remaining
436	1363	1756
437	1365	1752
438	1368	1748
439	1370	1744
440	1373	1740
441	1375	1736
442	1378	1732
443	1380	1728
444	1383	1725
445	1385	1721
446	1388	1717
447	1390	1713
448	1393	1709
449	1395	1705
450	1398	1701
451	1400	1698
452	1403	1694
453	1405	1690
454	1408	1687
455	1411	1683
456	1414	1680
457	1417	1677
458	1419	1673
459	1422	1669
460	1425	1666
461	1428	1663
462	1431	1659
463	1433	1656
464	1436	1652
465	1438	1648
466	1441	1644
467	1443	1641
468	1446	1638
469	1449	1634
470	1451	1630
471	1454	1626
472	1456	1622
473	1459	1619
474	1461	1615
475	1464	1612
476	1466	1608
477	1469	1604
478	1471	1600
479	1473	1596
480	1476	1592
481	1479	1589
482	1481	1586
483	1484	1582
484	1486	1578
485	1489	1575
486	1491	1571
487	1494	1568
488	1496	1564
489	1499	1560
490	1501	1557
491	1504	1553
492	1507	1549
493	1509	1546
494	1512	1542
495	1514	1539
496	1517	1535
497	1519	1532
498	1522	1528
499	1525	1525
500	1527	1521
501	1530	1517
502	1532	1514
503	1535	1510
504	1537	1507
505	1540	1503
506	1542	1500
507	1545	1496
508	1547	1492
509	1550	1489
510	1552	1485
511	1554	1482
512	1557	1478
513	1560	1475
514	1562	1471
515	1565	1468
516	1567	1464
517	1570	1460
518	1572	1457
519	1575	1454
520	1577	1450
521	1580	1447
522	1583	1443
523	1585	1440
524	1588	1437
525	1591	1434
526	1594	1430
527	1596	1427
528	1599	1424
529	1602	1420
530	1604	1417
531	1607	1414
532	1610	1410
533	1612	1407
534	1615	1403
535	1617	1400
536	1621	1397
537	1624	1394
538	1627	1391
539	1629	1388
540	1631	1384
541	1635	1381
542	1638	1378
543	1640	1375
544	1643	1372
545	1646	1368
546	1649	1365
547	1651	1362
548	1654	1358
549	1656	1355
550	1659	1351
551	1660	1347
552	1663	1344
553	1665	1341
554	1668	1337
555	1670	1334
556	1673	1330
557	1675	1327
558	1678	1323
559	1680	1320
560	1683	1317
561	1685	1313
562	1688	1310
563	1690	1307
564	1693	1303
565	1695	1300
566	1698	1297
567	1700	1293
568	1703	1290
569	1706	1287
570	1708	1283
571	1711	1280
572	1714	1277
573	1716	1274
574	1719	1271
575	1722	1268
576	1725	1264
577	1728	1261
578	1730	1258
579	1733	1255
580	1735	1251
581	1738	1248
582	1740	1244
583	1743	1241
584	1745	1238
585	1748	1235
586	1750	1231
587	1753	1228
588	1755	1225
589	1758	1221
590	1760	1218
591	1763	1215
592	1765	1211
593	1768	1208
594	1770	1205
595	1773	1201
596	1775	1198
597	1778	1195
598	1780	1192
599	1783	1188
600	1785	1185
601	1788	1182
602	1790	1179
603	1793	1175
604	1795	1172
605	1798	1169
606	1800	1165
607	1803	1162
608	1805	1159
609	1808	1156
610	1810	1152
611	1813	1149
612	1815	1146
613	1818	1142
614	1820	1139
615	1823	1136
616	1825	1133
617	1828	1130
618	1830	1126
619	1833	1123
620	1835	1120
621	1838	1117
622	1840	1113
623	1843	1110
624	1845	1107
625	1848	1104
626	1850	1101
627	1853	1097
628	1856	1094
629	1858	1091
630	1860	1088
631	1863	1084
632	1865	1081
633	1868	1078
634	1871	1075
635	1873	1072
636	1876	1069
637	1878	1065
638	1880	1062
639	1883	1059
640	1886	1056
641	1888	1053
642	1891	1049
643	1893	1046
644	1896	1043
645	1898	1040
646	1901	1037
647	1903	1034
648	1906	1031
649	1908	1027
650	1911	1024
651	1913	1021
652	1916	1018
653	1919	1015
654	1921	1012
655	1924	1009
656	1926	1005
657	1929	1002
658	1931	999
659	1934	996
660	1936	993
661	1939	990
662	1941	986
663	1944	983
664	1946	980
665	1949	977
666	1951	974
667	1954	971
668	1956	968
669	1959	964
670	1961	961
671	1964	958
672	1967	955
673	1969	952
674	1971	949
675	1974	946
676	1976	943
677	1979	940
678	1981	936
679	1984	933
680	1986	930
681	1989	927
682	1991	924
683	1994	921
684	1996	918
685	1999	915
686	2001	911
687	2004	908
688	2006	905
689	2009	902
690	2011	899
691	2014	896
692	2016	893
693	2019	890
694	2021	887
695	2024	884
696	2026	881
697	2029	878
698	2031	874
699	2034	871
700	2036	868
701	2039	865
702	2041	862
703	2044	859
704	2046	856
705	2049	853
706	2051	850
707	2054	847
708	2057	844
709	2059	841
710	2061	838
711	2064	835
712	2066	831
713	2069	828
714	2072	825
715	2074	822
716	2077	819
717	2079	816
718	2081	813
719	2084	810
720	2086	807
721	2089	804
722	2091	801
723	2094	798
724	2096	795
725	2099	792
726	2101	789
727	2104	786
728	2106	783
729	2109	780
730	2111	777
731	2114	774
732	2116	771
733	2119	768
734	2122	765
735	2124	762
736	2127	759
737	2129	755
738	2131	752
739	2134	750
740	2137	746
741	2139	743
742	2141	740
743	2144	737
744	2146	734
745	2149	731
746	2152	728
747	2154	725
748	2157	722
749	2159	719
750	2161	716
751	2164	713
752	2167	710
753	2169	707
754	2171	704
755	2174	701
756	2176	698
757	2179	695
758	2181	692
759	2184	689
760	2186	686
761	2189	683
762	2191	680
763	2194	677
764	2196	674
765	2199	671
766	2201	668
767	2204	665
768	2206	662
769	2209	659
770	2211	656
771	2214	653
772	2216	651
773	2219	648
774	2222	645
775	2224	642
776	2227	639
777	2230	636
778	2232	633
779	2235	630
780	2237	627
781	2240	624
782	2242	621
783	2245	618
784	2247	615
785	2250	612
786	2252	609
787	2255	606
788	2257	603
789	2260	600
790	2262	597
791	2265	594
792	2267	591
793	2270	588
794	2272	585
795	2275	583
796	2277	580
797	2280	577
798	2282	574
799	2285	571
800	2287	568
801	2290	565
802	2292	562
803	2295	559
804	2297	556
805	2300	553
806	2302	550
807	2304	547
808	2307	544
809	2309	541
810	2312	538
811	2314	535
812	2317	533
813	2319	530
814	2322	527
815	2325	524
816	2327	521
817	2329	518
818	2332	515
819	2334	512
820	2337	509
821	2340	506
822	2342	503
823	2345	500
824	2347	497
825	2350	495
826	2352	492
827	2355	489
828	2357	486
829	2360	483
830	2362	480
831	2364	477
832	2367	474
833	2370	471
834	2372	468
835	2375	465
836	2377	463
837	2380	460
838	2382	457
839	2385	454
840	2387	451
841	2390	448
842	2392	445
843	2395	442
844	2397	439
845	2400	436
846	2402	434
847	2405	431
848	2407	428
849	2410	425
850	2412	422
851	2415	419
852	2417	416
853	2420	413
854	2422	410
855	2425	407
856	2427	405
857	2429	402
858	2432	399
859	2435	396
860	2437	393
861	2439	390
862	2442	387
863	2444	384
864	2447	381
865	2449	379
866	2452	376
867	2454	373
868	2457	370
869	2459	367
870	2462	364
871	2464	361
872	2467	358
873	2469	356
874	2472	353
875	2474	350
876	2476	347
877	2479	344
878	2482	341
879	2484	338
880	2486	335
881	2489	333
882	2491	330
883	2494	327
884	2496	324
885	2499	321
886	2501	318
887	2504	315
888	2506	312
889	2509	310
890	2512	307
891	2514	304
892	2517	301
893	2519	298
894	2521	295
895	2524	293
896	2527	290
897	2529	287
898	2532	284
899	2535	281
900	2537	278
901	2540	275
902	2542	273
903	2545	270
904	2547	267
905	2550	264
906	2552	261
907	2555	258
908	2558	256
909	2560	253
910	2562	250
911	2565	247
912	2567	244
913	2570	241
914	2572	239
915	2575	236
916	2577	233
917	2580	230
918	2582	227
919	2585	224
920	2587	221
921	2590	219
922	2592	216
923	2595	213
924	2597	210
925	2599	207
926	2602	204
927	2604	202
928	2607	199
929	2609	196
930	2612	193
931	2614	190
932	2617	187
933	2619	185
934	2622	182
935	2624	179
936	2627	176
937	2629	173
938	2631	170
939	2634	168
940	2637	165
941	2639	162
942	2641	159
943	2644	156
944	2646	154
945	2649	151
946	2651	148
947	2654	145
948	2656	142
949	2659	139
950	2661	137
951	2664	134
952	2667	131
953	2669	128
954	2671	125
955	2674	123
956	2676	120
957	2679	117
958	2681	114
959	2684	111
960	2686	109
961	2689	106
962	2691	103
963	2694	100
964	2696	97
965	2699	95
966	2701	92
967	2704	89
968	2706	86
969	2709	83
970	2711	80
971	2714	78
972	2716	75
973	2719	72
974	2721	69
975	2724	66
976	2726	64
977	2729	61
978	2731	58
979	2734	55
980	2736	53
981	2739	50
982	2741	47
983	2744	44
984	2746	41
985	2749	39
986	2751	36
987	2753	33
988	2756	30
989	2758	27
990	2761	25
991	2763	22
992	2766	19
993	2768	16
994	2771	13
995	2773	11
996	2776	8
997	2778	5
998	2781	2
999	2783	0
